Date_situ;lat;lon;chl_fluoro_situ;chl_HPLC_situ;chl_merged_situ;Region_situ;Chl_fluoro2_situ;chl_situ;Date_sat;lat_sat;lon_sat;DOY;month;ssrd;chl_sat;MBR_OC3;log_MBR_OC3;log_rrs412;log_rrs443;log_rrs490;log_rrs510;log_rrs560;log_rrs665;rrs412_sat;rrs443_sat;rrs490_sat;rrs510_sat;rrs560_sat;rrs665_sat;SST;MBR_OC4;log_MBR_OC4;Extract;Index;CCIV6_RRS412;CCIV6_RRS443;CCIV6_RRS490;CCIV6_RRS510;CCIV6_RRS560;CCIV6_RRS665
19980804;74.631;-95.074;0.676666667;nan;nan;4;0.676666667;0.676666667;19980804;74.631;-95.074;216;8;10900000;0.7770634;1.597610922;0.203471021;-2.284166064;-2.263708379;-2.284804109;-2.335441225;-2.467179399;-3.182582726;0.005197972;0.005448684;0.005190341;0.004619115;0.00341052;0.000656776;1.31;2.323423325;0.366128345;CCI_CCI-V6_4km_19980804_368_2038.nc;0;0.00485177;0.004993472;0.004751682;0.004300633;0.003243428;0.000638125
19980830;69.62;50.57;nan;nan;0.15333;4;nan;0.15333;19980830;69.62;50.57;242;8;10600000;0.5176967;2.225989052;0.347523024;-2.485372036;-2.531902387;-2.570792463;-2.641783524;-2.879425411;-3.837219695;0.003270604;0.00293831;0.002686628;0.002281479;0.001320002;0.000145472;4.97;2.603163538;0.415501453;CCI_CCI-V6_4km_19980830_489_5533.nc;0;0.0030048;0.002746969;0.002491882;0.002171038;0.001283371;0.000145721
20000518;69.3367;7.8508;nan;nan;1.102;4;nan;1.102;20000518;69.3367;7.8508;139;5;16800000;0.7437144;1.568313636;0.195432918;-2.980154956;-2.838916029;-2.784589291;-2.805605279;-2.98002221;-3.864296619;0.001046755;0.001449052;0.001642142;0.001564569;0.001047075;0.00013668;6.39;1.238161856;0.092777421;CCI_CCI-V6_4km_20000518_495_4508.nc;0;0.001011359;0.001413152;0.001573606;0.001525535;0.001033396;0.000135583
20020605;69.6795;10.2048;nan;nan;0.49;4;nan;0.49;20020605;69.6795;10.2048;156;6;18400000;0.9228338;1.416645444;0.151261169;-2.397546824;-2.427436694;-2.396173206;-2.429032313;-2.547434375;-3.384804467;0.004003623;0.003737346;0.004016306;0.00372364;0.002835082;0.000412283;10.09;1.824854356;0.261228209;CCI_CCI-V6_4km_20020605_487_4564.nc;0;0.003868756;0.003650041;0.003888976;0.003658244;0.002785021;0.000417431
20031003;70.6625;19.9792;nan;nan;0.701;4;nan;0.701;20031003;70.6625;19.9792;276;10;1787727.625;1.099745;1.291643446;0.111142645;-2.867202899;-2.983247372;-2.828767197;-2.826506337;-2.939909842;-3.677591311;0.001357679;0.001039328;0.001483313;0.001491055;0.001148392;0.000210092;9.44;1.266563068;0.10262682;CCI_CCI-V6_4km_20031003_464_4799.nc;0;0.001273806;0.001049187;0.001144971;0.001272886;0.000889367;0.00013957
20040402;68.9493;13.4838;nan;nan;0.1295;4;nan;0.1295;20040402;68.9493;13.4838;93;4;11900000;0.2429783;3.467256154;0.539985928;-2.18874574;-2.199187621;-2.266394882;-2.407387057;-2.739173549;-3.808318206;0.006475216;0.006321387;0.005415083;0.003913929;0.001823167;0.000155483;7.18;1.010506974;0.004539315;CCI_CCI-V6_4km_20040402_505_4643.nc;0;0.006131966;0.0059945;0.005099581;0.003796173;0.001803197;0.000164391
20050825;71.2737;32.3868;nan;nan;0.875;4;nan;0.875;20050825;71.2737;32.3868;237;8;10600000;0.9854779;1.366646087;0.135656062;-2.247644119;-2.231670157;-2.189368867;-2.220454588;-2.325024929;-3.163053883;0.005654001;0.005865835;0.006465932;0.006019292;0.004731241;0.000686983;10;2.917385977;0.464993891;CCI_CCI-V6_4km_20050825_449_5097.nc;0;0.006339663;0.006591219;0.007078146;0.006685878;0.005329893;0.000852829
20060405;67.2063;10.4937;nan;nan;7.958;4;nan;7.958;20060405;67.2063;10.4937;95;4;12300000;4.100103;0.617876031;-0.209098652;-3.024229206;-2.996151017;-2.891757096;-2.778089932;-2.682658444;-3.072469912;0.000945738;0.001008902;0.001283048;0.001666902;0.002076546;0.000846311;5.4;2.863587891;0.456910517;CCI_CCI-V6_4km_20060405_547_4571.nc;0;0.000855655;0.000939584;0.001137774;0.001568029;0.0019208;0.000836024
20080709;71.0672;-166.0845;0.458;nan;nan;4;0.458;0.458;20080709;71.0672;-166.0845;191;7;15400000;0.6127474;2.070189944;0.316010195;-2.369443585;-2.366105236;-2.423465046;-2.480612822;-2.682115431;-3.636986857;0.004271264;0.004304223;0.003771681;0.003306642;0.002079144;0.000230682;2.37;1.199072541;0.078845458;CCI_CCI-V6_4km_20080709_454_333.nc;0;0.003934562;0.004061309;0.003593205;0.003233293;0.002105951;0.000238051
20080717;71.7518;31.2322;nan;nan;0.17475;4;nan;0.17475;20080717;71.7518;31.2322;199;7;15500000;0.3851497;2.508490976;0.399412543;-2.104377758;-2.160737708;-2.180494363;-2.278333377;-2.560150251;-3.41499264;0.007863615;0.006906568;0.006599418;0.005268253;0.002753276;0.000384598;8.82;1.695892901;0.229398422;CCI_CCI-V6_4km_20080717_437_5069.nc;0;-999;-999;-999;-999;-999;-999
